X = -2.04    Z = 259.925 
X = -2.12    Z = 259.885 
X = -2.2     Z = 259.83  
X = -2.28    Z = 259.845 
X = -2.355   Z = 259.895 
X = -2.44    Z = 259.9   
X = -2.515   Z = 259.84  
X = -2.595   Z = 259.795 
X = -2.675   Z = 259.78  
X = -2.755   Z = 259.74  
X = -2.835   Z = 259.72  
X = -2.915   Z = 259.705 
X = -2.995   Z = 259.635 
X = -3.075   Z = 259.595 
X = -3.155   Z = 259.6   
X = -3.235   Z = 259.6   
X = -3.315   Z = 259.535 
X = -3.395   Z = 259.51  
X = -3.47    Z = 259.51  
X = -3.55    Z = 259.605 
X = -3.63    Z = 259.635 
X = -3.71    Z = 259.595 
X = -3.79    Z = 259.53  
X = -3.87    Z = 259.49  
X = -3.95    Z = 259.46  
X = -4.03    Z = 259.44  
X = -4.11    Z = 259.435 
X = -4.19    Z = 259.42  
X = -4.27    Z = 259.365 
X = -4.35    Z = 259.34  
X = -4.43    Z = 259.345 
X = -4.51    Z = 259.295 
X = -4.59    Z = 259.255 
X = -4.665   Z = 259.28  
X = -4.745   Z = 259.305 
X = -4.825   Z = 259.265 
X = -4.91    Z = 259.165 
X = -4.985   Z = 259.135 
X = -5.065   Z = 259.165 
X = -5.145   Z = 259.2   
X = -5.225   Z = 259.2   
X = -5.305   Z = 259.21  
X = -5.38    Z = 259.225 
X = -5.465   Z = 259.155 
X = -5.545   Z = 259.075 
X = -5.625   Z = 259.095 
X = -5.705   Z = 259.095 
X = -5.785   Z = 259.03  
X = -5.865   Z = 259.01  
X = -5.94    Z = 259.07  
X = -6.02    Z = 259.07  
X = -6.105   Z = 258.965 
X = -6.185   Z = 258.955 
X = -6.26    Z = 258.995 
X = -6.34    Z = 258.955 
X = -6.425   Z = 258.875 
X = -6.505   Z = 258.845 
X = -6.585   Z = 258.855 
X = -6.665   Z = 258.82  
X = -6.745   Z = 258.775 
X = -6.825   Z = 258.8   
X = -6.905   Z = 258.815 
X = -6.985   Z = 258.82  
X = -7.06    Z = 258.825 
X = -7.145   Z = 258.785 
X = -7.225   Z = 258.75  
X = -7.305   Z = 258.73  
X = -7.385   Z = 258.7   
X = -7.465   Z = 258.67  
X = -7.545   Z = 258.675 
X = -7.625   Z = 258.69  
X = -7.705   Z = 258.695 
X = -7.785   Z = 258.66  
X = -7.865   Z = 258.585 
X = -7.945   Z = 258.585 
X = -8.025   Z = 258.605 
X = -8.105   Z = 258.605 
X = -8.19    Z = 258.49  
X = -8.27    Z = 258.405 
X = -8.35    Z = 258.43  
X = -8.43    Z = 258.46  
X = -8.51    Z = 258.41  
X = -8.595   Z = 258.32  
X = -8.675   Z = 258.3   
X = -8.75    Z = 258.35  
X = -8.83    Z = 258.395 
X = -8.91    Z = 258.41  
X = -8.99    Z = 258.36  
X = -9.075   Z = 258.265 
X = -9.155   Z = 258.24  
X = -9.235   Z = 258.26  
X = -9.315   Z = 258.29  
X = -9.39    Z = 258.335 
X = -9.47    Z = 258.35  
X = -9.55    Z = 258.295 
X = -9.635   Z = 258.265 
X = -9.715   Z = 258.24  
X = -9.795   Z = 258.215 
X = -9.875   Z = 258.215 
X = -9.955   Z = 258.195 
X = -10.04   Z = 258.165 
X = -10.12   Z = 258.135 
X = -10.2    Z = 258.095 
X = -10.28   Z = 258.085 
X = -10.36   Z = 258.095 
X = -10.44   Z = 258.065 
X = -10.52   Z = 258.03  
X = -10.6    Z = 258.025 
X = -10.685  Z = 258.005 
X = -10.765  Z = 257.98  
X = -10.845  Z = 257.96  
X = -10.925  Z = 257.915 
X = -11.005  Z = 257.905 
X = -11.085  Z = 257.9   
X = -11.17   Z = 257.855 
X = -11.25   Z = 257.825 
X = -11.33   Z = 257.82  
X = -11.41   Z = 257.82  
X = -11.49   Z = 257.83  
X = -11.57   Z = 257.835 
X = -11.65   Z = 257.84  
X = -11.73   Z = 257.83  
X = -11.81   Z = 257.8   
X = -11.895  Z = 257.715 
X = -11.975  Z = 257.675 
X = -12.055  Z = 257.68  
X = -12.14   Z = 257.645 
X = -12.22   Z = 257.61  
X = -12.3    Z = 257.585 
X = -12.38   Z = 257.58  
X = -12.465  Z = 257.555 
X = -12.545  Z = 257.53  
X = -12.62   Z = 257.575 
X = -12.7    Z = 257.59  
X = -12.785  Z = 257.505 
X = -12.865  Z = 257.48  
X = -12.945  Z = 257.465 
X = -13.025  Z = 257.515 
X = -13.105  Z = 257.445 
X = -13.195  Z = 257.325 
X = -13.275  Z = 257.285 
X = -13.355  Z = 257.285 
X = -13.435  Z = 257.27  
X = -13.515  Z = 257.25  
X = -13.595  Z = 257.265 
X = -13.675  Z = 257.315 
X = -13.75   Z = 257.325 
X = -13.835  Z = 257.275 
X = -13.915  Z = 257.21  
X = -13.995  Z = 257.23  
X = -14.075  Z = 257.24  
X = -14.155  Z = 257.21  
X = -14.235  Z = 257.18  
X = -14.315  Z = 257.17  
X = -14.395  Z = 257.17  
X = -14.475  Z = 257.2   
X = -14.555  Z = 257.175 
X = -14.64   Z = 257.09  
X = -14.725  Z = 257.02  
X = -14.805  Z = 256.975 
X = -14.885  Z = 256.975 
X = -14.965  Z = 256.995 
X = -15.045  Z = 256.96  
X = -15.13   Z = 256.92  
X = -15.21   Z = 256.93  
X = -15.29   Z = 256.935 
X = -15.37   Z = 256.895 
X = -15.45   Z = 256.89  
X = -15.53   Z = 256.915 
X = -15.61   Z = 256.855 
X = -15.695  Z = 256.78  
X = -15.78   Z = 256.735 
X = -15.86   Z = 256.72  
X = -15.94   Z = 256.73  
X = -16.02   Z = 256.735 
X = -16.1    Z = 256.725 
X = -16.18   Z = 256.715 
X = -16.26   Z = 256.72  
X = -16.34   Z = 256.71  
X = -16.42   Z = 256.66  
X = -16.505  Z = 256.625 
X = -16.585  Z = 256.605 
X = -16.67   Z = 256.57  
X = -16.745  Z = 256.575 
X = -16.825  Z = 256.64  
X = -16.9    Z = 256.715 
X = -16.98   Z = 256.69  
X = -17.065  Z = 256.635 
X = -17.14   Z = 256.665 
X = -17.22   Z = 256.665 
X = -17.31   Z = 256.555 
X = -17.395  Z = 256.445 
X = -17.475  Z = 256.46  
X = -17.555  Z = 256.42  
X = -17.64   Z = 256.37  
X = -17.72   Z = 256.39  
X = -17.795  Z = 256.46  
X = -17.875  Z = 256.465 
X = -17.955  Z = 256.445 
X = -18.035  Z = 256.415 
X = -18.12   Z = 256.385 
X = -18.2    Z = 256.36  
X = -18.285  Z = 256.32  
X = -18.365  Z = 256.27  
X = -18.45   Z = 256.235 
X = -18.53   Z = 256.25  
X = -18.605  Z = 256.275 
X = -18.69   Z = 256.265 
X = -18.77   Z = 256.25  
X = -18.85   Z = 256.195 
X = -18.94   Z = 256.1   
